datetime,net_import_NO_4_mw
2018-12-31 23:00:00+00:00,-13.580000000000002
2019-01-01 00:00:00+00:00,7.6899999999999995
2019-01-01 01:00:00+00:00,6.52
2019-01-01 02:00:00+00:00,-4.41
2019-01-01 03:00:00+00:00,-29.41
2019-01-01 04:00:00+00:00,-30.95
2019-01-01 05:00:00+00:00,4.91
2019-01-01 06:00:00+00:00,42.55
2019-01-01 07:00:00+00:00,71.44
2019-01-01 08:00:00+00:00,141.45
2019-01-01 09:00:00+00:00,91.03
2019-01-01 10:00:00+00:00,57.760000000000005
2019-01-01 11:00:00+00:00,31.18
2019-01-01 12:00:00+00:00,36.87
2019-01-01 13:00:00+00:00,-21.430000000000003
2019-01-01 14:00:00+00:00,-63.42
2019-01-01 15:00:00+00:00,-55.69999999999999
2019-01-01 16:00:00+00:00,-57.87
2019-01-01 17:00:00+00:00,-57.290000000000006
2019-01-01 18:00:00+00:00,-69.61
2019-01-01 19:00:00+00:00,-50.75999999999999
2019-01-01 20:00:00+00:00,-43.7
2019-01-01 21:00:00+00:00,-33.480000000000004
2019-01-01 22:00:00+00:00,7.630000000000001
2019-01-01 23:00:00+00:00,46.59
2019-01-02 00:00:00+00:00,26.090000000000003
2019-01-02 01:00:00+00:00,3.41
2019-01-02 02:00:00+00:00,-12.8
2019-01-02 03:00:00+00:00,-23.650000000000002
2019-01-02 04:00:00+00:00,-7.269999999999996
2019-01-02 05:00:00+00:00,-166.33
2019-01-02 06:00:00+00:00,-371.46999999999997
2019-01-02 07:00:00+00:00,-531.77
2019-01-02 08:00:00+00:00,-617.1600000000001
2019-01-02 09:00:00+00:00,-505.96000000000004
2019-01-02 10:00:00+00:00,-461.68
2019-01-02 11:00:00+00:00,-500.04999999999995
2019-01-02 12:00:00+00:00,-506.27
2019-01-02 13:00:00+00:00,-574.37
2019-01-02 14:00:00+00:00,-528.35
2019-01-02 15:00:00+00:00,-638.76
2019-01-02 16:00:00+00:00,-690.61
2019-01-02 17:00:00+00:00,-705.4699999999999
2019-01-02 18:00:00+00:00,-718.1999999999999
2019-01-02 19:00:00+00:00,-710.66
2019-01-02 20:00:00+00:00,-698.61
2019-01-02 21:00:00+00:00,-628.5699999999999
2019-01-02 22:00:00+00:00,-548.6600000000001
2019-01-02 23:00:00+00:00,-412.48
2019-01-03 00:00:00+00:00,-280.61
2019-01-03 01:00:00+00:00,-229.0
2019-01-03 02:00:00+00:00,-202.36
2019-01-03 03:00:00+00:00,-160.98
2019-01-03 04:00:00+00:00,-308.08
2019-01-03 05:00:00+00:00,-515.07
2019-01-03 06:00:00+00:00,-740.93
2019-01-03 07:00:00+00:00,-784.5699999999999
2019-01-03 08:00:00+00:00,-792.36
2019-01-03 09:00:00+00:00,-787.04
2019-01-03 10:00:00+00:00,-704.05
2019-01-03 11:00:00+00:00,-675.17
2019-01-03 12:00:00+00:00,-623.2
2019-01-03 13:00:00+00:00,-655.99
2019-01-03 14:00:00+00:00,-695.17
2019-01-03 15:00:00+00:00,-689.6199999999999
2019-01-03 16:00:00+00:00,-717.84
2019-01-03 17:00:00+00:00,-680.82
2019-01-03 18:00:00+00:00,-662.8
2019-01-03 19:00:00+00:00,-662.62
2019-01-03 20:00:00+00:00,-651.45
2019-01-03 21:00:00+00:00,-624.23
2019-01-03 22:00:00+00:00,-450.59999999999997
2019-01-03 23:00:00+00:00,-440.25
2019-01-04 00:00:00+00:00,-231.45000000000002
2019-01-04 01:00:00+00:00,-109.65
2019-01-04 02:00:00+00:00,-69.89
2019-01-04 03:00:00+00:00,-87.28999999999999
2019-01-04 04:00:00+00:00,-165.76
2019-01-04 05:00:00+00:00,-547.88
2019-01-04 06:00:00+00:00,-627.38
2019-01-04 07:00:00+00:00,-635.24
2019-01-04 08:00:00+00:00,-638.7
2019-01-04 09:00:00+00:00,-646.19
2019-01-04 10:00:00+00:00,-658.52
2019-01-04 11:00:00+00:00,-676.1700000000001
2019-01-04 12:00:00+00:00,-648.76
2019-01-04 13:00:00+00:00,-622.3199999999999
2019-01-04 14:00:00+00:00,-644.0300000000001
2019-01-04 15:00:00+00:00,-650.04
2019-01-04 16:00:00+00:00,-634.05
2019-01-04 17:00:00+00:00,-676.8
2019-01-04 18:00:00+00:00,-608.6700000000001
2019-01-04 19:00:00+00:00,-554.01
2019-01-04 20:00:00+00:00,-502.27
2019-01-04 21:00:00+00:00,-360.96999999999997
2019-01-04 22:00:00+00:00,-127.83000000000001
2019-01-04 23:00:00+00:00,-221.25000000000003
2019-01-05 00:00:00+00:00,-173.39000000000001
2019-01-05 01:00:00+00:00,-148.2
2019-01-05 02:00:00+00:00,-125.82
2019-01-05 03:00:00+00:00,-122.15
2019-01-05 04:00:00+00:00,-140.75
2019-01-05 05:00:00+00:00,-140.98
2019-01-05 06:00:00+00:00,-272.12
2019-01-05 07:00:00+00:00,-479.97999999999996
2019-01-05 08:00:00+00:00,-511.17
2019-01-05 09:00:00+00:00,-575.49
2019-01-05 10:00:00+00:00,-596.28
2019-01-05 11:00:00+00:00,-594.9200000000001
2019-01-05 12:00:00+00:00,-601.67
2019-01-05 13:00:00+00:00,-623.88
2019-01-05 14:00:00+00:00,-685.28
2019-01-05 15:00:00+00:00,-669.7099999999999
2019-01-05 16:00:00+00:00,-647.58
2019-01-05 17:00:00+00:00,-680.24
2019-01-05 18:00:00+00:00,-749.3100000000001
2019-01-05 19:00:00+00:00,-812.16
2019-01-05 20:00:00+00:00,-808.52
2019-01-05 21:00:00+00:00,-811.32
2019-01-05 22:00:00+00:00,-780.0600000000001
2019-01-05 23:00:00+00:00,-612.03
2019-01-06 00:00:00+00:00,-542.28
2019-01-06 01:00:00+00:00,-531.28
2019-01-06 02:00:00+00:00,-495.74
2019-01-06 03:00:00+00:00,-498.33
