step,window_start,window_end,n_hours,naive_MAE,naive_RMSE,naive_sMAPE,lgbm_MAE,lgbm_RMSE,lgbm_sMAPE
1,2025-01-01,2025-01-07,168,29.77,40.919,51.19,6.66,10.865,10.71
2,2025-01-08,2025-01-14,168,32.787,46.665,47.26,6.364,10.403,9.52
3,2025-01-15,2025-01-21,168,39.449,78.612,34.45,13.526,32.681,11.09
4,2025-01-22,2025-01-28,168,25.45,40.528,33.77,6.111,11.86,8.6
5,2025-01-29,2025-02-04,168,25.245,39.391,25.62,10.848,16.898,10.87
6,2025-02-05,2025-02-11,168,27.487,41.375,33.31,6.044,10.45,7.47
7,2025-02-12,2025-02-18,168,29.712,40.761,25.03,11.687,16.957,9.43
8,2025-02-19,2025-02-25,168,14.531,21.989,19.75,3.113,6.436,4.24
9,2025-02-26,2025-03-04,168,11.43,21.417,16.57,5.039,12.528,7.06
10,2025-03-05,2025-03-11,168,11.007,17.976,27.68,3.424,7.041,8.23
11,2025-03-12,2025-03-18,168,18.652,28.716,24.19,5.92,11.114,6.97
12,2025-03-19,2025-03-25,168,12.452,18.354,32.88,2.994,6.052,6.9
13,2025-03-26,2025-04-02,168,12.899,21.697,32.89,3.579,7.173,9.31
14,2025-04-02,2025-04-09,168,14.434,29.251,20.17,6.389,15.624,8.82
15,2025-04-09,2025-04-16,168,16.426,23.775,44.25,3.682,8.161,12.58
16,2025-04-16,2025-04-23,168,11.077,25.474,18.14,4.679,14.055,6.58
17,2025-04-23,2025-04-30,168,13.585,20.789,25.58,5.188,8.285,11.59
18,2025-04-30,2025-05-07,168,19.788,29.225,45.0,7.225,11.137,19.0
19,2025-05-07,2025-05-14,168,13.691,19.368,23.16,8.018,11.454,12.84
20,2025-05-14,2025-05-21,168,9.764,13.079,15.88,4.324,6.012,7.06
21,2025-05-21,2025-05-28,168,21.187,26.465,49.24,5.646,7.961,17.58
22,2025-05-28,2025-06-04,168,22.091,27.696,55.01,5.313,8.082,18.89
23,2025-06-04,2025-06-11,168,18.044,24.126,50.75,4.795,6.541,18.89
24,2025-06-11,2025-06-18,168,11.449,16.063,29.92,4.601,6.81,15.0
25,2025-06-18,2025-06-25,168,14.894,20.384,49.71,5.022,8.09,26.27
26,2025-06-25,2025-07-02,168,15.265,21.447,45.2,3.961,7.552,17.22
27,2025-07-02,2025-07-09,168,12.209,19.751,33.46,3.341,6.428,15.56
28,2025-07-09,2025-07-16,168,6.685,12.81,13.92,2.663,6.333,7.2
29,2025-07-16,2025-07-23,168,10.026,17.947,18.27,3.09,5.874,7.79
30,2025-07-23,2025-07-30,168,8.045,13.041,13.22,2.875,5.352,5.18
31,2025-07-30,2025-08-06,168,18.843,28.443,49.09,5.871,10.023,28.05
32,2025-08-06,2025-08-13,168,15.936,22.947,58.25,6.409,10.052,29.88
33,2025-08-13,2025-08-20,168,13.138,20.143,26.37,6.443,10.821,13.42
34,2025-08-20,2025-08-27,168,12.49,18.873,24.11,5.235,8.595,9.77
35,2025-08-27,2025-09-03,168,15.29,23.723,24.66,4.693,8.773,7.57
36,2025-09-03,2025-09-10,168,24.704,33.668,48.63,6.301,13.089,15.06
37,2025-09-10,2025-09-17,168,20.358,27.926,62.04,5.986,9.045,30.34
38,2025-09-17,2025-09-24,168,20.918,29.713,59.52,4.225,6.595,18.23
39,2025-09-24,2025-10-01,168,7.915,15.592,9.98,3.809,7.848,4.83
40,2025-10-01,2025-10-08,168,22.833,33.451,79.46,4.617,7.624,32.99
41,2025-10-08,2025-10-15,168,10.2,20.413,13.41,4.141,11.043,4.86
42,2025-10-15,2025-10-22,168,9.154,20.478,12.32,2.324,3.625,4.03
43,2025-10-22,2025-10-28,168,18.012,25.016,52.47,4.379,6.343,19.8
44,2025-10-29,2025-11-04,168,14.729,21.425,32.59,3.069,4.447,7.92
45,2025-11-05,2025-11-11,168,4.936,11.629,10.15,1.69,2.554,2.42
46,2025-11-12,2025-11-18,168,12.452,16.916,21.16,2.983,4.653,4.83
47,2025-11-19,2025-11-25,168,32.774,52.653,25.71,8.846,18.45,6.18
48,2025-11-26,2025-12-02,168,20.25,39.023,18.41,3.376,7.63,3.48
49,2025-12-03,2025-12-09,168,12.903,18.231,17.37,4.046,7.588,4.83
50,2025-12-10,2025-12-16,168,20.277,25.602,30.03,2.963,5.801,4.16
51,2025-12-17,2025-12-23,168,11.253,18.33,23.12,2.208,3.607,4.95
52,2025-12-24,2025-12-30,168,6.48,8.972,9.08,1.986,2.775,2.75
