zone,model,MAE,RMSE,sMAPE,R2
NO1,Naive-24h,17.344,28.495,37.91,0.2393
NO1,Naive-168h,24.858,38.182,48.87,-0.3659
NO1,Linear-ARX (Ridge),6.085,11.27,16.23,0.881
NO1,LightGBM,5.582,10.884,15.09,0.889
NO1,XGBoost,6.04,11.66,16.1,0.8726
NO1,LSTM,18.975,27.513,37.59,0.2923
NO1,TCN,12.144,19.453,27.79,0.6462
NO1,Transformer,16.569,24.028,34.35,0.4602
NO2,Naive-24h,16.834,28.586,31.99,0.2065
NO2,Naive-168h,24.252,38.994,41.47,-0.4763
NO2,Linear-ARX (Ridge),5.841,10.998,13.16,0.8826
NO2,LightGBM,5.316,10.718,12.25,0.8885
NO2,XGBoost,6.198,11.993,13.16,0.8604
NO2,LSTM,14.799,22.44,28.07,0.5088
NO2,TCN,11.469,19.244,22.3,0.6387
NO2,Transformer,13.984,21.925,25.85,0.5311
NO3,Naive-24h,10.55,19.492,58.87,0.3296
NO3,Naive-168h,16.038,28.088,79.79,-0.3921
NO3,Linear-ARX (Ridge),3.234,6.272,26.57,0.9306
NO3,LightGBM,3.047,6.139,23.38,0.9335
NO3,XGBoost,3.254,6.646,25.15,0.922
NO3,LSTM,7.55,13.463,48.84,0.6823
NO3,TCN,5.865,10.812,39.52,0.7951
NO3,Transformer,7.347,12.723,51.32,0.7163
NO4,Naive-24h,5.79,16.263,57.65,0.2198
NO4,Naive-168h,8.49,22.794,73.41,-0.5328
NO4,Linear-ARX (Ridge),1.969,4.736,35.96,0.9338
NO4,LightGBM,1.598,4.774,25.32,0.9328
NO4,XGBoost,2.103,5.325,37.39,0.9163
NO4,LSTM,6.818,11.931,86.74,0.587
NO4,TCN,2.931,7.847,43.82,0.8213
NO4,Transformer,5.113,9.57,74.67,0.7343
NO5,Naive-24h,11.312,20.467,29.56,0.4821
NO5,Naive-168h,18.114,28.89,45.75,-0.0319
NO5,Linear-ARX (Ridge),4.217,8.797,13.03,0.9043
NO5,LightGBM,3.795,8.436,12.07,0.912
NO5,XGBoost,4.188,8.95,12.96,0.901
NO5,LSTM,13.249,18.676,39.44,0.572
NO5,TCN,9.745,15.594,26.54,0.7016
NO5,Transformer,10.724,16.551,27.96,0.6638
